,country,gdp_per_capita,capital
0,Monaco,"190,532",Monaco
1,Liechtenstein,"179,258",Vaduz
2,Luxembourg,"115,481",Luxembourg
3,Bermuda,"117,768",Hamilton
4,Cayman Islands,"92,692",George Town
5,Switzerland,"85,135",Bern
6,Republic of Ireland,"81,637",Dublin
7,Macao,"84,097",Concelho de Macau
8,Norway,"74,986",Oslo
9,United States,"65,134","Washington, D.C."
10,Iceland,"71,345",Reykjavík
11,Denmark,"60,657",Copenhagen
12,Singapore,"64,103",Singapore
13,Qatar,"64,782",Doha
14,Australia,"54,763",Canberra
15,Sweden,"52,896",Stockholm
16,Netherlands,"53,053",Amsterdam
17,Greenland,"53,353",Nuuk
18,Finland,"48,678",Helsinki
19,Austria,"49,701",Vienna
20,San Marino,"47,313",San Marino
21,British Virgin Islands,"48,511",Charlotte Amalie
22,Hong Kong,"49,180",Hong Kong
23,Germany,"46,232",Berlin
24,Belgium,"46,198",Brussels
25,Canada,"46,550",Ottawa
26,Israel,"46,376",Jerusalem
27,New Zealand,"43,264",Wellington
28,United Kingdom,"41,855",London
29,France,"40,319",Paris
30,Japan,"40,063",Tokyo
31,Andorra,"40,887",Andorra la Vella
32,United Arab Emirates,"43,103",Abu Dhabi
33,New Caledonia,"34,942",Nouméa
34,Puerto Rico,"35,791",San Juan
35,Italy,"33,090",Rome
36,South Korea,"32,143",Seoul
37,Brunei,"31,086",Bandar Seri Begawan
38,Taiwan,,Taipei
39,The Bahamas,"34,864",Nassau
40,Malta,"33,752",Valletta
41,Kuwait,"31,999",Kuwait City
42,Spain,"29,816",Madrid
43,Sint Maarten,,Philipsburg
44,Cyprus,"28,285",Nicosia
45,Aruba,"30,975",Oranjestad
46,Turks and Caicos Islands,"31,353",Cockburn Town
47,Slovenia,"26,062",Ljubljana
48,Anguilla,"25,529",The Valley
49,Estonia,"23,740",Tallinn
50,Czechia,"23,452",Prague
51,Bahrain,"23,504",Manama
52,Portugal,"23,350",Lisbon
53,Saudi Arabia,"23,140",Riyadh
54,Cook Islands,"21,603",Avarua
55,Lithuania,"19,795",Vilnius
56,French Polynesia,"21,567",Papeete
57,Slovakia,"19,256",Bratislava
58,Greece,"19,604",Athens
59,Saint Kitts and Nevis,"19,896",Basseterre
60,Latvia,"17,885",Riga
61,Curacao,"18,980",Willemstad
62,Hungary,"16,879",Budapest
63,Barbados,"18,149",Bridgetown
64,Poland,"15,727",Warsaw
65,Oman,"15,343",Muscat
66,Croatia,"14,627",Zagreb
67,Trinidad and Tobago,"16,637",Port-of-Spain
68,Uruguay,"16,190",Montevideo
69,Antigua and Barbuda,"17,113",Saint John’s
70,Chile,"14,896",Santiago
71,Palau,"15,572",
72,Romania,"12,914",Bucharest
73,Panama,"15,728",Panama City
74,Montserrat,"13,487",Brades
75,China,"10,004",Beijing
76,Costa Rica,"12,238",San José
77,Russia,"11,606",Moscow
78,Malaysia,"11,414",Kuala Lumpur
79,American Samoa,,Apia
80,Bulgaria,"9,703",Sofia
81,Nauru,"12,351",Yaren
82,Maldives,"10,626",Malé
83,Kazakhstan,"9,793",Nursultan
84,Saint Lucia,"11,611",Castries
85,Seychelles,"17,382",Victoria
86,Mauritius,"11,169",Port Louis
87,Turkey,"9,127",Ankara
88,Cuba,"9,296",Havana
89,Mexico,"9,849",Mexico City
90,Guyana,"6,610",Georgetown
91,Grenada,"10,818",Saint George's
92,Argentina,"10,041",Buenos Aires
